"The Beautiful Name / الاسم الحسن","Number / الرقم","Brief Meaning / المعنى المختصر","Ta'wil / التأويل","Quranic Reference / المرجع القرآني","Verse → Ayah / الآية","Dhikr Formula / صيغة الذكر","Pronunciation","Phonetics"
"Al-Ghafur (الغفور)","34","The All-Forgiving; The One who forgives perfectly","📿 SHARĪ'A - Allah forgives completely, leaving no trace of sin. His forgiveness is perfect - He forgives and makes you forget the sin.

🚶 ṬARĪQA - Seek His complete forgiveness. Forgive others completely. Recite ""Yā Ghafūr"" with certainty of His perfect pardon.

💎 ḤAQĪQA - His forgiveness transforms sins into good deeds. In Al-Ghafur's alchemy, poison becomes medicine.

🌟 MA'RIFA - The lover finds that Al-Ghafur forgave them before they sinned, that forgiveness preceded creation itself.","Tell My servants that I am the Forgiving, the Merciful (15:49); And He is the Forgiving, the Affectionate (85:14)","Al-Hijr 15:49; Al-Buruj 85:14","Basic: يا غفور (Yā Ghafūr) Seeking forgiveness: رب اغفر لي Practice: 1,297 times","al-gha-FOOR","'gha' guttural, 'FOOR' rhymes with 'tour'"
"Ash-Shakur (الشكور)","35","The Grateful; The Appreciative; The One who gives much for little","📿 SHARĪ'A - Allah appreciates the smallest good deed, multiplying its reward. He is more grateful for your worship than you are for His blessings.

🚶 ṬARĪQA - Be grateful for everything. See His appreciation in every blessing. Recite ""Yā Shakūr"" to develop gratitude and receive increase.

💎 ḤAQĪQA - He appreciates what others overlook. Your secret sigh, hidden tear, private charity - Ash-Shakur records and multiplies all.

🌟 MA'RIFA - The mystic discovers the divine paradox: the more grateful they become, the more Ash-Shakur showers them with reasons for gratitude.","If you are grateful, I will surely increase you (14:7); Indeed, our Lord is Forgiving and Appreciative (35:34)","Ibrahim 14:7; Fatir 35:34","Basic: يا شكور (Yā Shakūr)

Gratitude: الحمد لله

Increase: 526 times","ash-sha-KOOR","'sha' as 'shah', 'KOOR' rhymes with 'tour'"
"Al-Aliyy (العلي)","36","The Most High; The Exalted; The One above everything","📿 SHARĪ'A - Allah is above all creation in His essence, attributes, and power. He is high above what they associate with Him.

🚶 ṬARĪQA - Elevate your aspirations to Him alone. Seek highness through Him. Recite ""Yā 'Aliyy"" to transcend worldly attachments.

💎 ḤAQĪQA - His highness includes nearness. The Most High is also the Most Near. Transcendence and immanence unite in Al-Aliyy.

🌟 MA'RIFA - The saint ascends so high they realize height and depth are one in Al-Aliyy. The highest station is having no station.","And He is the Most High, the Grand (42:4); He knows what penetrates the earth and what emerges from it (57:4)","Ash-Shuraa 42:4; Al-Hadid 57:4","Basic: يا علي (Yā 'Aliyy)

Elevation: يا علي ارفعني

Times: 110 daily","al-'a-LIYY","guttural 'a', 'LIYY' as 'lee'"
"Al-Kabir (الكبير)","37","The Greatest; The Most Great; The One who is greater than everything","📿 SHARĪ'A - Allah is greater than can be described or imagined. His greatness has no limit or measure. Everything is small compared to Him.

🚶 ṬARĪQA - Diminish yourself before His greatness. Let 'Allahu Akbar' be your heart's anthem. Recite ""Yā Kabīr"" to realize true proportions.

💎 ḤAQĪQA - In recognizing Al-Kabir, you find your true size - infinitely small yet infinitely precious to the Infinitely Great.

🌟 MA'RIFA - The mystic becomes a point that contains the universe, understanding that in Al-Kabir's presence, zero and infinity meet.","That is because Allah is the Truth, and what they call upon besides Him is falsehood, and because Allah is the Most High, the Grand (22:62)","Al-Hajj 22:62; Luqman 31:30","Basic: يا كبير (Yā Kabīr) Takbir: الله أكبر Number: 232 times","al-ka-BEER","'ka' as 'kah', 'BEER' as 'beer'"
"Al-Hafiz (الحفيظ)","38","The Preserver; The Protector; The Guardian","📿 SHARĪ'A - Allah preserves everything - the heavens and earth, sacred books, and His servants. His preservation never fails or tires.

🚶 ṬARĪQA - Seek His preservation for faith, family, and provisions. Trust His guardianship. Recite ""Yā Ḥafīẓ"" for divine protection.

💎 ḤAQĪQA - He preserves you from countless unseen dangers every moment. His preservation is active, constant, and encompasses all.

🌟 MA'RIFA - The saint realizes they are preserved IN Him, not just BY Him. In Al-Hafiz, they find eternal sanctuary.","Indeed, We sent down the reminder and We are its preservers (15:9); And Allah is the best guardian, and He is the most merciful (12:64)","Al-Hijr 15:9; Yusuf 12:64","Basic: يا حفيظ (Yā Ḥafīẓ)

Protection: يا حفيظ احفظني Travel: 998 times","al-ha-FEEDH","'ha' light, 'FEEDH' with soft 'dh'"
"Al-Muqit (المقيت)","39","The Nourisher; The Sustainer; The One who provides all needs","📿 SHARĪ'A - Allah provides physical and spiritual nourishment to all creation. He sustains everything with exactly what it needs.

🚶 ṬARĪQA - Trust His complete sustenance. He nourishes body and soul. Recite ""Yā Muqīt"" when seeking any form of sustenance.

💎 ḤAQĪQA - His nourishment is perfectly measured - never too much, never too little. Even hunger is a form of His feeding.

🌟 MA'RIFA - The mystic feeds on divine love, finding Al-Muqit provides spiritual sustenance that makes physical food secondary.","And Allah is over all things a Keeper (4:85); And there is no creature on earth but that upon Allah is its provision (11:6)","An-Nisa 4:85; Hud 11:6","Basic: يا مقيت (Yā Muqīt) Sustenance: 7 times daily With Al-Razzaq","al-mu-QEET","'mu' as 'moon', 'QEET' deep 'q'"
"Al-Hasib (الحسيب)","40","The Reckoner; The Sufficient; The One who takes account","📿 SHARĪ'A - Allah will take perfect account of all deeds. He is also sufficient for those who rely on Him. He needs no assistant in reckoning.

🚶 ṬARĪQA - Make Him sufficient for you. Take account of yourself before being taken to account. Recite ""Yā Ḥasīb"" for sufficiency.

💎 ḤAQĪQA - His sufficiency means you need nothing else. In finding Al-Hasib sufficient, all needs dissolve into one need - Him.

🌟 MA'RIFA - The saint's reckoning is love's accounting - finding they owe everything and own nothing, perfectly balanced in zero.","Allah is sufficient as a Reckoner (4:6); Sufficient for us is Allah, and He is the best disposer of affairs (3:173)","An-Nisa 4:6; Aal-Imran 3:173","Basic: يا حسيب (Yā Ḥasīb) Sufficiency: حسبي الله Number: 70 times","al-ha-SEEB","'ha' light, 'SEEB' rhymes with 'dweeb'"
"Al-Jalil (الجليل)","41","The Majestic; The Sublime; The One possessing greatness and glory","📿 SHARĪ'A - Allah possesses absolute majesty combining power, beauty, and perfection. His majesty awes and attracts simultaneously.

🚶 ṬARĪQA - Approach with awe and love combined. Beautify worship for the Majestic. Recite ""Yā Jalīl"" to experience divine majesty.

💎 ḤAQĪQA - His majesty is not distant grandeur but intimate glory. The Majestic One dwells in the believing heart.

🌟 MA'RIFA - The mystic is consumed by divine majesty, becoming a throne where Al-Jalil's glory manifests to creation.","Blessed is the name of your Lord, Owner of Majesty and Honor (55:78); Everyone upon the earth will perish, and there will remain the Face of your Lord, Owner of Majesty (55:26-27)","Ar-Rahman 55:78, 55:26-27","Basic: يا جليل (Yā Jalīl) Dhikr: ذو الجلال والإكرام Number: 1,064 times","al-ja-LEEL","'ja' as 'jah', 'LEEL' rhymes with 'seal'"
"Al-Karim (الكريم)","42","The Generous; The Noble; The One who gives without being asked","📿 SHARĪ'A - Allah's generosity is limitless. He gives before being asked, more than expected, and without reminding of His favors.

🚶 ṬARĪQA - Be generous with all - time, wealth, forgiveness. Give expecting nothing. Recite ""Yā Karīm"" to receive and reflect divine generosity.

💎 ḤAQĪQA - His generosity includes what He withholds. Sometimes not giving is the greatest gift. Trust Al-Karim's perfect generosity.

🌟 MA'RIFA - The saint becomes an ocean of generosity, giving from inexhaustible divine treasures, enriching all without becoming poor.","O man, what has deceived you concerning your Lord, the Generous? (82:6); Read, and your Lord is the Most Generous (96:3)","Al-Infitar 82:6; Al-Alaq 96:3","Basic: يا كريم (Yā Karīm)

Request: يا كريم أكرمني Generosity: 270 times","al-ka-REEM","'ka' as 'kah', 'REEM' rhymes with 'dream'"
"Al-Mujeeb (المجيب)","44","The Responsive; The One who answers prayers","📿 SHARĪ'A - Allah responds to every sincere call. He answers prayers in ways beyond our imagination - sometimes yes, sometimes better.

🚶 ṬARĪQA - Call upon Him with certainty of response. Persist in prayer. Recite ""Yā Mujīb"" believing your prayer is already answered.

💎 ḤAQĪQA - His response often comes before the call. He inspires the prayer for what He wants to give. The prayer itself is His answer.

🌟 MA'RIFA - The mystic's entire existence becomes a prayer, and every moment contains Al-Mujeeb's response in continuous conversation.","And when My servants ask about Me - indeed I am near. I respond to the invocation of the supplicant when he calls upon Me (2:186)","Al-Baqarah 2:186; Hud 11:61","Basic: يا مجيب (Yā Mujīb) Du'a: يا مجيب الدعوات Answer: 55 times","al-mu-JEEB","'mu' as 'moon', 'JEEB' rhymes with 'jeep'"
"Al-Wasi (الواسع)","45","The All-Encompassing; The Vast; The One whose capacity is unlimited","📿 SHARĪ'A - Allah's vastness encompasses all creation. His knowledge, mercy, power, and dominion have no limits or boundaries.

🚶 ṬARĪQA - Expand your heart and mind. Don't limit His vastness by small thinking. Recite ""Yā Wāsi'"" to experience divine expansiveness.

💎 ḤAQĪQA - His vastness contains all opposites without contradiction. In Al-Wasi, all paradoxes resolve into perfect unity.

🌟 MA'RIFA - The mystic's heart expands to mirror divine vastness, containing the universe while being contained in His infinite expanse.","And to Allah belongs the east and the west. Wherever you turn, there is the Face of Allah. Indeed, Allah is All-Encompassing and Knowing (2:115)","Al-Baqarah 2:115; Al-Baqarah 2:268","Basic: يا واسع (Yā Wāsi') Expansion: 137 times dawn For capacity and ease","al-WAA-si'","'WAA' long 'a', 'si' with pause"
"Al-Hakeem (الحكيم)","46","The Perfectly Wise; The One whose every act has wisdom","📿 SHARĪ'A - Allah's wisdom is perfect in creation and command. Every decree contains wisdom beyond human comprehension.

🚶 ṬARĪQA - Trust His wisdom in life's events. Seek wisdom through Him. Recite ""Yā Ḥakīm"" to understand divine wisdom in trials.

💎 ḤAQĪQA - His wisdom often appears as foolishness to the mind. What seems random reveals perfect patterns to the awakened heart.

🌟 MA'RIFA - The sage sees His wisdom threading through all existence, understanding that everything is exactly where it should be.","And He is the Exalted in Might, the Wise (59:1); He gives wisdom to whom He wills (2:269)","Al-Hashr 59:1; Al-Baqarah 2:269","Basic: يا حكيم (Yā Ḥakīm) For wisdom: رب زدني حكمة Study: 78 times","al-ha-KEEM","'ha' emphatic, 'KEEM' rhymes with 'team'"
"Al-Wadud (الودود)","47","The Most Loving; The Most Affectionate; The Source of all love","📿 SHARĪ'A - Allah loves His servants and wants their love. His love precedes and exceeds all human love. He is the source of all affection.

🚶 ṬARĪQA - Love Him above all else. Express love through obedience. Recite ""Yā Wadūd"" to increase in divine love and be loved.

💎 ḤAQĪQA - His love is the cause of existence. He loved to be known, so He created. All creation is His love letter.

🌟 MA'RIFA - The lover drowns in the ocean of Al-Wadud, discovering that lover, love, and Beloved are one reality.","And He is the Forgiving, the Affectionate (85:14); And ask forgiveness of your Lord and turn to Him. Indeed, my Lord is Merciful and Affectionate (11:90)","Al-Buruj 85:14; Hud 11:90","Basic: يا ودود (Yā Wadūd) For love: 1000 times Relationships: After Isha","al-wa-DOOD","'wa' as 'wah', 'DOOD' rhymes with 'mood'"
"Al-Majeed (المجيد)","48","The Most Glorious; The Noble; The One perfect in glory","📿 SHARĪ'A - Allah possesses perfect glory combining all praiseworthy attributes. His glory is eternal and self-sustaining.

🚶 ṬARĪQA - Glorify Him in speech and action. Seek glory through serving the Glorious. Recite ""Yā Majīd"" to partake in divine glory.

💎 ḤAQĪQA - True glory belongs only to Al-Majeed. Any glory in creation is borrowed light from the Source of all glory.

🌟 MA'RIFA - The mystic finds glory in annihilation, discovering that being nothing before Al-Majeed is the highest glory.","Owner of the Throne, the Glorious (85:15); They said, 'Are you amazed at the decree of Allah?... Indeed, He is Praiseworthy and Honorable' (11:73)","Al-Buruj 85:15; Hud 11:73","Basic: يا مجيد (Yā Majīd) Glory: سبحان ذي المجد Number: 465 times","al-ma-JEED","'ma' as 'mah', 'JEED' as 'jeed'"
"Al-Ba'ith (الباعث)","49","The Resurrector; The One who resurrects for reward and punishment","📿 SHARĪ'A - Allah will resurrect all creation for judgment. He brings the dead to life and will gather all on the Day of Resurrection.

🚶 ṬARĪQA - Live mindful of resurrection. Die before death through ego annihilation. Recite ""Yā Bā'ith"" to experience spiritual resurrection.

💎 ḤAQĪQA - Resurrection happens continuously - in sleep and waking, in every breath, in spiritual states. Each moment contains death and rebirth.

🌟 MA'RIFA - The mystic experiences resurrection while living, dying to the false self and being reborn in the Real.","And that it is He who causes death and gives life, And that upon Him is the next creation (53:47-48); Say, 'Allah gives you life, then causes you to die; then He will gather you' (45:26)","An-Najm 53:47-48; Al-Jathiyah 45:26","Basic: يا باعث (Yā Bā'ith) Spiritual revival: 70 times Night prayer: 100 times","al-BAA-'ith","'BAA' long 'a', pause at apostrophe"
"Ash-Shaheed (الشهيد)","50","The Witness; The One who witnesses everything","📿 SHARĪ'A - Allah witnesses all deeds and thoughts. Nothing is hidden from His sight. He will testify on the Day of Judgment.

🚶 ṬARĪQA - Live as if you see Him, knowing He sees you. Be His witness on earth. Recite ""Yā Shahīd"" to develop consciousness of His presence.

💎 ḤAQĪQA - His witnessing creates reality. What He witnesses becomes. His seeing is not passive observation but active creation.

🌟 MA'RIFA - The saint becomes a pure witness, seeing His witnessing in all events, testifying to His presence in every atom.","Allah is sufficient as a Witness (4:79); Say, 'Allah is Witness between me and you' (6:19)","An-Nisa 4:79; Al-An'am 6:19","Basic: يا شهيد (Yā Shahīd) Testimony: 319 times Witnessing practice","ash-sha-HEED","'sha' as 'shah', 'HEED' as 'heed'"
"Al-Haqq (الحق)","51","The Truth; The Real; The One who truly exists","📿 SHARĪ'A - Allah is the absolute Truth. Everything else derives its reality from Him. He is more real than anything we perceive.

🚶 ṬARĪQA - Seek truth in everything. Align with reality, not illusion. Recite ""Yā Ḥaqq"" to see through falsehood to truth.

💎 ḤAQĪQA - All existence is His self-disclosure. The multiplicity of forms veils the One Truth manifesting through all.

🌟 MA'RIFA - The mystic realizes only Al-Haqq truly exists. Everything else is His shadow. In finding the Truth, illusions dissolve.","That is because Allah is the Truth and because He gives life to the dead (22:6); Then they will be returned to Allah, their Master, the Truth (6:62)","Al-Hajj 22:6; Al-An'am 6:62","Basic: يا حق (Yā Ḥaqq) Realization: الحق من عند الحق Truth-seeking: 108 times","al-HAQQ","Strong 'H', 'AQQ' with deep 'q'"
"Al-Wakeel (الوكيل)","52","The Trustee; The Dependable; The One who manages all affairs","📿 SHARĪ'A - Allah is the ultimate trustee who manages all affairs perfectly. He is the best to rely upon for all matters.

🚶 ṬARĪQA - Entrust all affairs to Him. Practice true tawakkul (reliance). Recite ""Yā Wakīl"" when delegating your matters to Him.

💎 ḤAQĪQA - He manages your affairs better than you could. Trusting Al-Wakeel means relaxing into divine management.

🌟 MA'RIFA - The saint becomes His representative, managing others' affairs through His power, a trustee reflecting the Trustee.","Allah is sufficient as a Trustee (4:81); And rely upon Allah; and sufficient is Allah as a Trustee (33:3)","An-Nisa 4:81; Al-Ahzab 33:3","Basic: يا وكيل (Yā Wakīl) Trust: حسبي الله ونعم الوكيل Delegation: 66 times","al-wa-KEEL","'wa' as 'wah', 'KEEL' as 'keel'"
"Al-Qawiyy (القوي)","53","The Most Strong; The Powerful; The One with perfect strength","📿 SHARĪ'A - Allah possesses absolute strength that never diminishes. His power is perfect, needing no assistance or rest.

🚶 ṬARĪQA - Draw strength from the Source of all strength. Acknowledge your weakness to access His power. Recite ""Yā Qawiyy"" when feeling weak.

💎 ḤAQĪQA - True strength is recognizing your weakness before Al-Qawiyy. In that recognition, His strength flows through you.

🌟 MA'RIFA - The mystic finds infinite strength in infinite weakness, becoming a channel for Al-Qawiyy's power to manifest.","Indeed, Allah is the Provider, the Possessor of Power, the Strong (51:58); Indeed, your Lord - He is the Strong, the Exalted in Might (11:66)","Adh-Dhariyat 51:58; Hud 11:66","Basic: يا قوي (Yā Qawiyy) Strength: يا قوي قوني Morning: 116 times","al-qa-WIYY","'qa' deep, 'WIYY' as 'wee'"
"Al-Wali (الولي)","55","The Protecting Friend; The Guardian; The Helper","📿 SHARĪ'A - Allah is the protective friend of believers. He guards, helps, and supports those who turn to Him.

🚶 ṬARĪQA - Make Him your primary relationship. Be His friend through obedience. Recite ""Yā Waliyy"" to strengthen divine friendship.

💎 ḤAQĪQA - His friendship is intimate presence. The Friend is closer than your own self, protecting from within.

🌟 MA'RIFA - The saint becomes a friend of the Friend, their friendship so complete that their will dissolves in His.","Allah is the ally of those who believe. He brings them out from darknesses into light (2:257); And He is the Protecting Friend, the Praiseworthy (42:28)","Al-Baqarah 2:257; Ash-Shuraa 42:28","Basic: يا ولي (Yā Waliyy)

Protection: يا ولي تولني Friendship: 1,316 times","al-wa-LEE","'wa' as 'wah', 'LEE' as 'lee'"
"Al-Hameed (الحميد)","56","The Praiseworthy; The One who deserves all praise","📿 SHARĪ'A - Allah deserves all praise in all circumstances. He is praiseworthy in His essence, attributes, and actions.

🚶 ṬARĪQA - Praise Him constantly. Find reasons to praise in everything. Recite ""Yā Ḥamīd"" to become praiseworthy through praising.

💎 ḤAQĪQA - All praise returns to Him. When praising anything beautiful, you're praising Al-Hameed's manifestation.

🌟 MA'RIFA - The mystic's existence becomes living praise, every cell singing His glory, embodying gratitude.","And know that Allah is Free of need and Praiseworthy (2:267); To Him belongs whatever is in the heavens and earth, and He is the Exalted, the Praiseworthy (42:5)","Al-Baqarah 2:267; Ash-Shuraa 42:5","Basic: يا حميد (Yā Ḥamīd) Praise: الحمد لله Gratitude: 62 times","al-ha-MEED","'ha' light, 'MEED' rhymes with 'seed'"
"Al-Muhsi (المحصي)","57","The Accounter; The Counter; The One who knows the number of all things","📿 SHARĪ'A - Allah has counted everything in exact number. He knows the count of all things from atoms to galaxies.

🚶 ṬARĪQA - Make your moments count. Every breath is numbered. Recite ""Yā Muḥṣī"" remembering your days are counted.

💎 ḤAQĪQA - His counting is not mere numbering but intimate knowledge. He counts your breaths because each one matters.

🌟 MA'RIFA - The mystic realizes they are a number in His infinite calculation, unique and irreplaceable in the divine equation.","And He has enumerated all things in number (72:28); We have enumerated all things in a clear register (36:12)","Al-Jinn 72:28; Ya-Sin 36:12","Basic: يا محصي (Yā Muḥṣī) Accountability: 148 times Night prayer","al-muh-SEE","'muh' as 'moo', 'SEE' as 'see'"
"Al-Mubdi (المبدئ)","58","The Originator; The One who creates from nothing","📿 SHARĪ'A - Allah originates all creation from absolute nothingness. He needs no model or material to create.

🚶 ṬARĪQA - Be original in worship and service. Create new ways to please Him. Recite ""Yā Mubdi'"" for creative inspiration.

💎 ḤAQĪQA - Every moment He creates you anew. You are not the same person as a moment ago - Al-Mubdi recreates continuously.

🌟 MA'RIFA - The mystic witnesses continuous creation, seeing Al-Mubdi's creative act in every arising thought and heartbeat.","Is He who begins creation and then repeats it (27:64); Say, 'Allah begins creation and then repeats it' (10:34)","An-Naml 27:64; Yunus 10:34","Basic: يا مبدئ (Yā Mubdi') Creation: 87 times With Al-Mu'id","al-mub-DI'","'mub' as 'moob', glottal stop"
"Al-Muhyi (المحيي)","60","The Giver of Life; The One who gives life to the dead","📿 SHARĪ'A - Allah gives life to all living things. He brings life from death and will resurrect the dead on Judgment Day.

🚶 ṬARĪQA - Seek spiritual life through Him. Let Him revive your dead heart. Recite ""Yā Muḥyī"" for spiritual revival.

💎 ḤAQĪQA - Life is His breath in forms. Every living thing is alive only through Al-Muhyi's life-giving presence.

🌟 MA'RIFA - The mystic dies to self and is revived by Al-Muhyi, living His life rather than their own.","And He is the one who gives life and causes death (53:44); Indeed, He who has given it life is the Giver of Life to the dead (41:39)","An-Najm 53:44; Fussilat 41:39","Basic: يا محيي (Yā Muḥyī) Revival: يا محيي أحي قلبي Practice: 68 times","al-muh-YEE","'muh' soft, 'YEE' as 'ye'"
"Al-Mumeet (المميت)","61","The Taker of Life; The One who causes death","📿 SHARĪ'A - Allah determines the time of death for all creatures. He causes death as part of His perfect wisdom and plan.

🚶 ṬARĪQA - Remember death often. Die to your ego before physical death. Recite ""Yā Mumīt"" to practice spiritual death.

💎 ḤAQĪQA - Death is transition, not termination. Al-Mumeet takes one form of life to give another, higher form.

🌟 MA'RIFA - The mystic experiences voluntary death, dying to all that is not Him, finding eternal life in that death.","He is the one who gives life and causes death, and to Him you will be returned (10:56); And that it is He who causes death and gives life (53:44)","Yunus 10:56; An-Najm 53:44","Basic: يا مميت (Yā Mumīt) Ego death: 490 times With Al-Muhyi","al-mu-MEET","'mu' as 'moo', 'MEET' as 'meat'"
"Al-Hayy (الحي)","62","The Ever-Living; The One who never dies","📿 SHARĪ'A - Allah is perfectly alive with a life that has no beginning or end. His life is the source of all other life.

🚶 ṬARĪQA - Connect to eternal life through the Ever-Living. Seek life that transcends death. Recite ""Yā Ḥayy"" to partake in divine life.

💎 ḤAQĪQA - There is only one real Life - Al-Hayy. All other life is borrowed, temporary, dependent on the Source.

🌟 MA'RIFA - The mystic lives in the Ever-Living, their temporary life absorbed into His eternal life, deathless in the Deathless.","Allah - there is no deity except Him, the Ever-Living, the Sustainer (2:255); And rely upon the Ever-Living who does not die (25:58)","Al-Baqarah 2:255; Al-Furqan 25:58","Basic: يا حي (Yā Ḥayy) With Al-Qayyum: يا حي يا قيوم Life force: 300 times","al-HAYY","Emphatic 'H', 'AYY' as in 'eye'"
"Al-Qayyum (القيوم)","63","The Self-Subsisting; The One through whom all exists","📿 SHARĪ'A - Allah subsists by Himself while all creation subsists through Him. He maintains everything without effort or need.

🚶 ṬARĪQA - Depend on the Independent. Stand through the One who stands by Himself. Recite ""Yā Qayyūm"" for spiritual stability.

💎 ḤAQĪQA - Nothing stands except through Al-Qayyum. Remove His support for an instant and all existence collapses.

🌟 MA'RIFA - The mystic finds stability in recognizing their complete dependence, standing firm through surrender to Al-Qayyum.","Allah - there is no deity except Him, the Ever-Living, the Sustainer of existence (2:255); All faces will be humbled before the Ever-Living, the Sustainer (20:111)","Al-Baqarah 2:255; Ta-Ha 20:111","Basic: يا قيوم (Yā Qayyūm) Combined: يا حي يا قيوم Stability: After each prayer","al-qay-YOOM","'qay' as 'kay', 'YOOM' as 'you+m'"
"Al-Wajid (الواجد)","64","The Finder; The Rich; The One who finds all He seeks","📿 SHARĪ'A - Allah finds whatever He wills. He lacks nothing and possesses everything. His finding is creating and knowing simultaneously.

🚶 ṬARĪQA - Seek to be found by Him rather than to find Him. Enrich yourself through Al-Wajid. Recite ""Yā Wājid"" to find what you seek.

💎 ḤAQĪQA - He finds because He never loses. His finding is unveiling what was always present in His eternal knowledge.

🌟 MA'RIFA - The seeker becomes the sought, finding they were never lost, always found in Al-Wajid's eternal presence.","Did He not find you an orphan and gave refuge? And He found you lost and guided you? And He found you poor and made self-sufficient? (93:6-8)","Ad-Duha 93:6-8","Basic: يا واجد (Yā Wājid)

Seeking: 565 times For finding lost items","al-WAA-jid","'WAA' long 'a', 'jid' as 'jid'"
"Al-Maajid (الماجد)","65","The Glorious; The Honorable; The One perfect in glory and honor","📿 SHARĪ'A - Allah possesses perfect glory and nobility. His majesty is coupled with generosity. He is noble in essence and acts.

🚶 ṬARĪQA - Seek honor through honoring Him. Be noble in character. Recite ""Yā Mājid"" to partake in divine nobility.

💎 ḤAQĪQA - True glory is reflecting His glory. Any nobility in creation is a ray from Al-Maajid's infinite nobility.

🌟 MA'RIFA - The mystic finds glory in servitude, discovering that slavery to Al-Maajid is the highest nobility.","This is a blessed Book which We have revealed to you, [O Muhammad], that they might reflect upon its verses and that those of understanding would be reminded (38:29)","Sad 38:29; Hud 11:73","Basic: يا ماجد (Yā Mājid) Honor: 111 times Night of Power","al-MAA-jid","'MAA' long 'a', 'jid' as 'jid'"
"Al-Wahid (الواحد)","66","The One; The Unique; The Only One","📿 SHARĪ'A - Allah is absolutely One without partner or equal. His oneness is unique - not numerical but absolute unity.

🚶 ṬARĪQA - Unify your heart on Him alone. Let tawhid penetrate your being. Recite ""Yā Wāḥid"" to realize divine unity.

💎 ḤAQĪQA - Multiplicity is appearance; unity is reality. Behind the many forms stands the One manifesting through all.

🌟 MA'RIFA - The mystic dissolves in unity, seeing the One in all and all in the One, duality dissolved in Al-Wahid.","Say, 'He is Allah, [who is] One' (112:1); And your god is one God. There is no deity except Him (2:163)","Al-Ikhlas 112:1; Al-Baqarah 2:163","Basic: يا واحد (Yā Wāḥid) Unity: يا واحد يا أحد Realization: 1,000 times","al-WAA-hid","'WAA' long, 'hid' as 'heed'"
"Al-Ahad (الأحد)","67","The Unique One; The Indivisible; The One without second","📿 SHARĪ'A - Allah's uniqueness is absolute. He cannot be divided, has no parts, no beginning or end. He is uniquely One.

🚶 ṬARĪQA - Contemplate His absolute uniqueness. Nothing resembles Him. Recite ""Yā Aḥad"" to taste divine solitude.

💎 ḤAQĪQA - His Oneness is not solitary but all-inclusive. In Al-Ahad, all multiplicity returns to pristine Unity.

🌟 MA'RIFA - The lover merges so completely with Al-Ahad that no trace of duality remains - only One looking at One.","Say, 'He is Allah, [who is] One, Allah, the Eternal Refuge' (112:1-2); And there is none comparable to Him (112:4)","Al-Ikhlas 112:1-2, 112:4","Basic: يا أحد (Yā Aḥad) Seclusion: 1,000 times Sunday practice","al-A-had","Glottal 'A', 'had' as 'hud'"
"As-Samad (الصمد)","68","The Eternal Refuge; The One needed by all while needing none","📿 SHARĪ'A - Allah is the eternal refuge to whom all turn in need while He needs nothing. He is solid, without gap or need.

🚶 ṬARĪQA - Turn to Him for all needs. Become solid in faith through As-Samad. Recite ""Yā Ṣamad"" to fill your emptiness.

💎 ḤAQĪQA - All neediness drives creation to As-Samad. He is the fullness that fills all emptiness, yet remains unchanged.

🌟 MA'RIFA - The mystic becomes empty of needs by being filled with As-Samad, needing nothing because they have Everything.","Allah, the Eternal Refuge. He neither begets nor is born (112:2-3); Say, 'Then who could prevent Allah at all if He intended to destroy Christ' (5:17)","Al-Ikhlas 112:2-3; Al-Ma'idah 5:17","Basic: يا صمد (Yā Ṣamad) Need: 125 times Thursday night","as-SA-mad","Emphatic 'S', 'mad' as 'mud'"
"Al-Qadir (القادر)","69","The All-Powerful; The Able; The One who decrees all things","📿 SHARĪ'A - Allah has perfect power over all things. Nothing is difficult for Him. His ability encompasses all possibilities.

🚶 ṬARĪQA - Trust His power in your weakness. Nothing is impossible for Al-Qadir. Recite ""Yā Qādir"" when facing the impossible.

💎 ḤAQĪQA - His power is not force but ease. He says 'Be' and it is - effortless creation through perfect ability.

🌟 MA'RIFA - The saint works miracles through Al-Qadir, becoming a vessel for divine power while claiming nothing.","Indeed, Allah is over all things Capable (2:20); Say, 'He is the [one] Able to send upon you affliction' (6:65)","Al-Baqarah 2:20; Al-An'am 6:65","Basic: يا قادر (Yā Qādir) Capability: 305 times Before difficult tasks","al-QAA-dir","Deep 'Q', 'AA' long, 'dir'"
"Al-Muqtadir (المقتدر)","70","The All-Determining; The Powerful Determiner","📿 SHARĪ'A - Allah not only has power but determines its exercise perfectly. His power is coupled with complete wisdom and control.

🚶 ṬARĪQA - Submit to His determination. Accept His power over your affairs. Recite ""Yā Muqtadir"" to align with divine will.

💎 ḤAQĪQA - His determination shapes destiny. What He determines cannot be changed. Power and wisdom unite in Al-Muqtadir.

🌟 MA'RIFA - The mystic flows with divine determination, their will so aligned that His determinations feel like their choices.","In a seat of honor near a Sovereign, Perfect in Ability (54:55); And Allah is over all things Determiner (18:45)","Al-Qamar 54:55; Al-Kahf 18:45","Basic: يا مقتدر (Yā Muqtadir) Power: 744 times With Al-Qadir","al-muq-TA-dir","'muq' deep, 'TA' stressed"
